File Format = ASCII
Created by Nova, NT-MDT ltd., 31/05/2016 05:12:31 p. m.
File: C:\Users\David\Desktop\Listeria\Mirtala - Listeria - Control.mdt
1D Frame Type = NewCurves
State = Columns
ND = 1
NX = 2000
Scale X = 2.3024
Scale Data = 0.0015
Bias X = -800.0711
Bias Data = 0.0000E+0
Unit X = nm
Unit Data = nA
DataScaleNeeded = No
Start of Data : 
	X1Phys = 320321.3125	Y1Phys = 434408.0312
	FwSize1 = 1000	BkSize1 = 1000
X	Y1F	Y1B
638.8995	-0.2747	-0.2716
641.2018	-0.2732	-0.2701
643.5042	-0.2732	-0.2716
645.8065	-0.2732	-0.2701
648.1089	-0.2732	-0.2701
650.4112	-0.2732	-0.2701
652.7136	-0.2732	-0.2701
655.0159	-0.2732	-0.2701
657.3183	-0.2732	-0.2701
659.6206	-0.2716	-0.2701
661.9230	-0.2732	-0.2701
664.2253	-0.2716	-0.2701
666.5277	-0.2716	-0.2686
668.8300	-0.2716	-0.2686
671.1324	-0.2716	-0.2701
673.4348	-0.2716	-0.2686
675.7371	-0.2716	-0.2686
678.0395	-0.2701	-0.2686
680.3418	-0.2716	-0.2686
682.6442	-0.2716	-0.2686
684.9465	-0.2701	-0.2686
687.2489	-0.2701	-0.2670
689.5512	-0.2701	-0.2670
691.8536	-0.2701	-0.2686
694.1559	-0.2701	-0.2670
696.4583	-0.2686	-0.2670
698.7606	-0.2686	-0.2670
701.0630	-0.2701	-0.2670
703.3653	-0.2686	-0.2655
705.6677	-0.2686	-0.2655
707.9700	-0.2686	-0.2655
710.2724	-0.2686	-0.2655
712.5748	-0.2670	-0.2655
714.8771	-0.2686	-0.2655
717.1795	-0.2686	-0.2655
719.4818	-0.2670	-0.2655
721.7842	-0.2670	-0.2655
724.0865	-0.2670	-0.2640
726.3889	-0.2670	-0.2655
728.6912	-0.2670	-0.2655
730.9936	-0.2670	-0.2640
733.2959	-0.2670	-0.2640
735.5983	-0.2670	-0.2640
737.9006	-0.2670	-0.2640
740.2030	-0.2655	-0.2640
742.5053	-0.2655	-0.2640
744.8077	-0.2655	-0.2625
747.1100	-0.2655	-0.2625
749.4124	-0.2640	-0.2625
751.7148	-0.2640	-0.2625
754.0171	-0.2640	-0.2625
756.3195	-0.2640	-0.2609
758.6218	-0.2625	-0.2609
760.9242	-0.2640	-0.2609
763.2265	-0.2640	-0.2609
765.5289	-0.2625	-0.2609
767.8312	-0.2625	-0.2594
770.1336	-0.2625	-0.2594
772.4359	-0.2625	-0.2594
774.7383	-0.2625	-0.2594
777.0406	-0.2625	-0.2594
779.3430	-0.2625	-0.2579
781.6453	-0.2609	-0.2579
783.9477	-0.2609	-0.2579
786.2500	-0.2609	-0.2579
788.5524	-0.2609	-0.2579
790.8548	-0.2594	-0.2564
793.1571	-0.2594	-0.2564
795.4595	-0.2579	-0.2564
797.7618	-0.2579	-0.2564
800.0642	-0.2579	-0.2564
802.3665	-0.2579	-0.2564
804.6689	-0.2579	-0.2564
806.9712	-0.2564	-0.2548
809.2736	-0.2564	-0.2548
811.5759	-0.2564	-0.2548
813.8783	-0.2564	-0.2548
816.1806	-0.2548	-0.2548
818.4830	-0.2564	-0.2533
820.7853	-0.2548	-0.2533
823.0877	-0.2548	-0.2533
825.3900	-0.2533	-0.2533
827.6924	-0.2533	-0.2533
829.9948	-0.2533	-0.2518
832.2971	-0.2518	-0.2518
834.5995	-0.2533	-0.2503
836.9018	-0.2518	-0.2503
839.2042	-0.2518	-0.2518
841.5065	-0.2518	-0.2503
843.8089	-0.2518	-0.2503
846.1112	-0.2518	-0.2503
848.4136	-0.2518	-0.2503
850.7159	-0.2503	-0.2487
853.0183	-0.2503	-0.2472
855.3206	-0.2503	-0.2487
857.6230	-0.2503	-0.2487
859.9253	-0.2503	-0.2487
862.2277	-0.2503	-0.2487
864.5300	-0.2487	-0.2487
866.8324	-0.2487	-0.2487
869.1348	-0.2487	-0.2472
871.4371	-0.2487	-0.2472
873.7395	-0.2487	-0.2472
876.0418	-0.2472	-0.2472
878.3442	-0.2472	-0.2472
880.6465	-0.2472	-0.2472
882.9489	-0.2472	-0.2472
885.2512	-0.2487	-0.2472
887.5536	-0.2472	-0.2457
889.8559	-0.2472	-0.2457
892.1583	-0.2472	-0.2472
894.4606	-0.2472	-0.2472
896.7630	-0.2472	-0.2472
899.0653	-0.2472	-0.2457
901.3677	-0.2487	-0.2457
903.6700	-0.2472	-0.2457
